FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
tromperas,9,VER,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
tromperie,9,NC,,,,,,,,,5,0.48,1.81,42.58,5,0.40,1.10,40.41
tromperies,10,NC,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
trompes,7,VER,,,,,4,0.41,5.20,47.16,3,0.19,0.52,37.12,7,0.39,1.48,41.72
trompes,7,NC,,,,,,,,,2,0.21,0.35,35.39,2,0.17,0.21,33.17
trompés,7,ADJ,,,,,,,,,3,0.19,0.49,36.89,1,0.00,0.01,21.16
trompés,7,VER,,,,,,,,,1,0.00,0.02,23.94,3,0.16,0.29,34.66
trompette,9,NC,22,0.59,78.85,58.97,29,0.46,42.78,56.31,26,0.78,14.77,51.69,77,0.71,29.02,54.63
trompette-des-morts,19,NC,2,0.00,0.31,34.87,,,,,,,,,2,0.00,0.00,13.97
trompettes,10,NC,,,,,2,0.27,2.05,43.13,10,0.61,4.50,46.53,12,0.57,3.63,45.59
trompeur,8,ADJ,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
trompeur,8,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
trompeurs,9,ADJ,,,,,,,,,2,0.21,0.33,35.20,2,0.17,0.20,32.99
trompeuse,9,ADJ,,,,,,,,,3,0.19,0.46,36.66,3,0.16,0.28,34.44
trompeuses,10,ADJ,,,,,,,,,2,0.00,0.03,25.08,2,0.00,0.02,22.30
trompez,7,VER,1,0.00,0.43,36.31,1,0.00,0.19,32.89,3,0.33,0.76,38.82,5,0.40,1.08,40.35
trompiez,8,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
trônait,7,VER,2,0.00,1.05,40.19,,,,,7,0.52,2.74,44.39,9,0.47,2.29,43.60
tronc,5,NC,7,0.50,21.72,53.37,21,0.61,38.91,55.90,66,0.86,41.15,56.14,94,0.81,40.10,56.03
tronche,7,NC,,,,,,,,,2,0.00,0.04,25.73,2,0.00,0.02,22.95
tronçon,7,NC,,,,,,,,,8,0.45,2.73,44.37,8,0.37,1.66,42.19
tronçonner,10,VER,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
tronçonneuse,12,NC,3,0.00,1.87,42.72,,,,,2,0.00,0.04,26.49,5,0.17,0.47,36.76
tronçons,8,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
troncs,6,NC,2,0.00,1.22,40.87,8,0.61,14.57,51.64,28,0.73,14.93,51.74,38,0.71,14.23,51.53
trône,5,NC,,,,,4,0.22,3.09,44.89,12,0.59,5.29,47.24,16,0.55,4.69,46.72
trône,5,VER,,,,,1,0.00,0.36,35.59,3,0.33,0.76,38.78,4,0.35,0.76,38.79
trop,4,ADV,152,0.81,728.61,68.62,228,0.93,606.41,67.83,746,0.97,524.11,67.19,1 126,0.95,558.86,67.47
trophée,7,NC,,,,,,,,,2,0.21,0.36,35.51,2,0.17,0.21,33.27
tropical,8,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
tropicale,9,ADJ,,,,,1,0.00,0.17,32.34,4,0.31,0.98,39.89,5,0.33,0.92,39.62
