FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
a,1,VER,1 831,0.95,10 092.45,80.04,2 563,0.96,7 016.59,78.46,8 555,0.97,6 015.07,77.79,12 949,0.96,6 539.01,78.16
à,1,PRE,2 616,0.96,14 660.67,81.66,5 326,0.97,14 815.37,81.71,23 951,0.98,16 868.45,82.27,31 893,0.95,15 846.63,82.00
à cloche-pied,13,ADV,1,0.00,0.30,34.73,4,0.41,5.03,47.02,1,0.00,0.03,24.35,6,0.39,1.25,40.98
à contrecœur,12,ADV,,,,,,,,,4,0.42,1.27,41.05,4,0.35,0.77,38.87
à croupetons,12,ADV,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
à jeun,6,ADV,,,,,,,,,7,0.44,2.32,43.66,7,0.37,1.41,41.49
à la saint-glinglin,19,ADV,,,,,,,,,9,0.21,1.54,41.88,9,0.17,0.92,39.65
à l'aveuglette,14,ADV,,,,,1,0.00,0.36,35.59,1,0.00,0.03,24.43,2,0.17,0.20,33.10
à l'improviste,14,ADV,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
à mi-course,11,ADV,,,,,,,,,2,0.21,0.34,35.34,2,0.17,0.20,33.11
à rebrousse-poil,16,ADV,,,,,,,,,2,0.00,0.09,29.60,2,0.00,0.05,26.82
à tâtons,8,ADV,1,0.00,0.61,37.82,,,,,12,0.56,5.02,47.00,13,0.50,3.51,45.45
à tire-d'aile,13,ADV,2,0.00,1.05,40.19,1,0.00,0.25,33.94,6,0.54,2.39,43.79,9,0.51,2.46,43.91
à tue-tête,10,ADV,3,0.43,8.26,49.17,9,0.21,6.14,47.88,10,0.69,5.08,47.06,22,0.60,7.04,48.48
à vau-l'eau,11,ADV,,,,,,,,,2,0.00,0.05,26.95,2,0.00,0.03,24.17
aardvark,8,NP,,,,,4,0.00,1.45,41.61,,,,,4,0.00,0.05,26.89
abaissa,7,VER,,,,,2,0.27,1.93,42.86,8,0.45,2.73,44.36,10,0.46,2.49,43.96
abaissai,8,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abaissait,9,VER,,,,,,,,,3,0.19,0.51,37.08,3,0.16,0.30,34.82
abaisse,7,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
abaissé,7,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abaissée,8,ADJ,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
abaissées,9,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abaissent,9,VER,,,,,1,0.00,0.34,35.35,1,0.00,0.02,22.39,2,0.17,0.20,32.99
abaisser,8,VER,,,,,,,,,4,0.42,1.28,41.07,4,0.35,0.77,38.89
abaissés,8,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
abajoues,8,NC,,,,,,,,,2,0.00,0.02,23.72,2,0.00,0.01,20.93
abandon,7,NC,,,,,,,,,7,0.44,2.38,43.77,7,0.37,1.44,41.60
abandonna,9,VER,,,,,,,,,10,0.61,4.50,46.54,10,0.51,2.74,44.37
abandonnai,10,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
abandonnaient,13,VER,,,,,,,,,3,0.33,0.77,38.88,3,0.28,0.47,36.69
abandonnais,11,VER,,,,,1,0.00,0.21,33.29,1,0.00,0.03,24.69,2,0.17,0.20,33.03
abandonnait,11,VER,,,,,,,,,5,0.48,1.84,42.64,5,0.40,1.11,40.47
abandonnant,11,VER,,,,,2,0.27,1.76,42.47,10,0.59,4.38,46.42,12,0.55,3.55,45.50
abandonne,9,VER,1,0.00,0.61,37.86,7,0.45,9.87,49.94,17,0.72,8.95,49.52,25,0.68,8.96,49.52
abandonné,9,ADJ,1,0.00,0.61,37.82,6,0.61,11.00,50.41,37,0.82,22.00,53.42,22,0.66,7.68,48.85
abandonné,9,VER,1,0.00,0.52,37.18,5,0.41,6.52,48.14,15,0.64,7.03,48.47,43,0.74,16.71,52.23
abandonnée,10,ADJ,1,0.00,0.61,37.86,1,0.00,0.20,33.08,6,0.54,2.41,43.82,7,0.44,1.65,42.18
abandonnée,10,VER,1,0.00,0.50,37.03,1,0.00,0.21,33.29,5,0.40,1.52,41.82,8,0.52,2.23,43.49
abandonnées,11,ADJ,,,,,1,0.00,0.19,32.89,6,0.26,1.23,40.89,7,0.29,1.12,40.47
abandonnées,11,VER,,,,,1,0.00,0.20,33.09,1,0.00,0.03,25.43,2,0.17,0.20,33.07
abandonnent,11,VER,,,,,1,0.00,0.20,33.09,9,0.61,4.07,46.10,10,0.54,2.90,44.63
abandonner,10,VER,3,0.43,8.41,49.25,3,0.43,4.04,46.07,30,0.79,17.26,52.37,36,0.74,14.02,51.47
abandonnera,11,VER,,,,,,,,,3,0.33,0.77,38.89,3,0.28,0.47,36.69
abandonnerai,12,VER,,,,,,,,,2,0.21,0.34,35.27,2,0.17,0.20,33.06
abandonnerais,13,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
abandonnèrent,13,VER,3,0.00,1.87,42.72,1,0.00,0.21,33.29,5,0.40,1.57,41.95,9,0.42,2.06,43.13
abandonnerons,13,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
abandonnes,10,VER,,,,,5,0.00,1.02,40.07,1,0.00,0.03,24.41,6,0.11,0.40,36.00
abandonnés,10,ADJ,,,,,,,,,4,0.21,0.71,38.50,4,0.17,0.42,36.26
abandonnés,10,VER,1,0.00,0.42,36.25,,,,,3,0.33,0.79,38.95,4,0.35,0.77,38.85
abandonnez,10,VER,,,,,1,0.00,0.22,33.41,1,0.00,0.02,23.95,2,0.17,0.20,32.99
abandonnons,11,VER,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
abasourdi,9,ADJ,,,,,,,,,7,0.52,2.76,44.41,7,0.44,1.68,42.24
abasourdi,9,VER,,,,,,,,,1,0.00,0.02,22.07,1,0.00,0.01,19.29
abasourdie,10,ADJ,,,,,1,0.00,0.17,32.34,1,0.00,0.03,24.35,2,0.17,0.20,32.98
abasourdie,10,VER,,,,,1,0.00,0.17,32.34,,,,,1,0.00,0.01,17.62
abasourdis,10,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abat,4,VER,,,,,1,0.00,0.36,35.59,10,0.65,4.79,46.80,11,0.57,3.35,45.25
abat-jour,9,NC,,,,,4,0.27,3.48,45.42,14,0.59,6.15,47.89,18,0.56,5.35,47.28
abats,5,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
abattait,8,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abattant,8,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
abattement,10,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
abattent,8,VER,,,,,3,0.43,4.19,46.22,3,0.33,0.78,38.92,6,0.45,1.46,41.63
abattirent,10,VER,,,,,,,,,3,0.33,0.76,38.82,3,0.28,0.46,36.63
abattis,7,VER,,,,,,,,,2,0.00,0.07,28.57,2,0.00,0.04,25.79
abattit,7,VER,,,,,1,0.00,0.34,35.35,28,0.72,14.76,51.69,29,0.62,9.55,49.80
abattoir,8,NC,,,,,,,,,2,0.21,0.34,35.33,2,0.17,0.20,33.11
abattoirs,9,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abattrai,8,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abattre,7,VER,1,0.00,0.42,36.25,2,0.00,0.34,35.35,21,0.67,10.38,50.16,24,0.61,7.75,48.89
abattu,6,VER,,,,,2,0.27,1.86,42.69,13,0.66,6.35,48.03,15,0.60,4.82,46.83
abattu,6,ADJ,1,0.00,0.61,37.86,,,,,12,0.55,4.86,46.87,13,0.49,3.41,45.33
abattue,7,ADJ,,,,,1,0.00,0.09,29.77,5,0.48,1.84,42.64,1,0.00,0.00,15.06
abattue,7,VER,,,,,,,,,,,,,5,0.40,1.11,40.47
abattues,8,ADJ,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
abattues,8,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
abattus,7,VER,,,,,3,0.43,4.01,46.03,7,0.52,2.77,44.42,7,0.49,1.84,42.64
abattus,7,ADJ,,,,,,,,,4,0.42,1.29,41.09,7,0.44,1.68,42.26
abbaye,6,NC,,,,,,,,,3,0.00,0.05,27.33,3,0.00,0.03,24.54
abbé,4,NC,,,,,,,,,2,0.21,0.34,35.31,2,0.17,0.20,33.09
abbey,5,NP,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
abcès,5,NC,,,,,,,,,2,0.21,0.33,35.16,2,0.17,0.20,32.95
abd el-kader,12,NP,,,,,,,,,2,0.00,0.05,26.96,2,0.00,0.03,24.18
abdallah,8,NP,,,,,,,,,6,0.00,0.14,31.50,6,0.00,0.07,28.72
abdavulocat,11,NP,,,,,,,,,6,0.00,0.10,30.18,6,0.00,0.05,27.40
abdelassem,10,NP,,,,,3,0.00,0.51,37.11,,,,,3,0.00,0.02,22.40
abderrahman,11,NP,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
abdomen,7,NC,,,,,,,,,5,0.40,1.53,41.85,5,0.33,0.93,39.67
abdominaux,10,NC,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
abdou,5,NP,,,,,1,0.00,0.17,32.34,,,,,1,0.00,0.01,17.62
abécédaire,10,NC,,,,,,,,,7,0.29,1.54,41.86,7,0.24,0.93,39.67
abeille,7,NC,19,0.48,58.58,57.68,22,0.77,49.65,56.96,57,0.79,32.98,55.18,98,0.80,41.28,56.16
abeilles,8,NC,8,0.68,32.55,55.13,34,0.43,45.57,56.59,41,0.61,18.48,52.67,83,0.64,28.19,54.50
abel,4,NP,,,,,,,,,29,0.00,0.66,38.22,29,0.00,0.35,35.44
abidjan,7,NP,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
abîma,5,VER,,,,,,,,,2,0.00,0.06,27.44,2,0.00,0.03,24.66
abîmait,7,VER,1,0.00,0.61,37.86,,,,,1,0.00,0.03,24.43,2,0.17,0.20,32.97
abîme,5,VER,2,0.00,0.75,38.75,2,0.27,1.88,42.73,7,0.38,2.12,43.26,5,0.33,0.90,39.56
abîme,5,NC,,,,,,,,,1,0.00,0.05,26.54,7,0.32,1.28,41.07
abîmé,5,VER,4,0.22,7.02,48.46,3,0.43,4.04,46.07,4,0.42,1.26,40.99,11,0.53,3.07,44.88
abîmée,6,VER,1,0.00,0.50,37.03,2,0.27,1.90,42.79,3,0.19,0.50,37.03,6,0.39,1.28,41.07
abîmées,7,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abîment,7,VER,,,,,1,0.00,0.21,33.29,1,0.00,0.03,24.43,2,0.17,0.20,33.01
abîmer,6,VER,2,0.27,3.72,45.70,3,0.43,4.16,46.19,6,0.54,2.40,43.81,11,0.60,3.51,45.45
abîmerait,9,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abîmes,6,NC,,,,,1,0.00,0.34,35.35,3,0.33,0.79,38.96,4,0.35,0.77,38.88
abîmes,6,VER,1,0.00,0.53,37.27,,,,,,,,,1,0.00,0.00,16.38
abîmés,6,VER,2,0.27,3.86,45.87,1,0.00,0.07,28.63,4,0.42,1.26,40.99,7,0.49,1.82,42.60
abîmez,6,VER,,,,,,,,,3,0.33,0.77,38.86,3,0.28,0.46,36.66
abîmons,7,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
ablette,7,NC,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
ablettes,8,NC,,,,,,,,,2,0.21,0.34,35.31,2,0.17,0.20,33.09
aboie,5,VER,13,0.71,55.45,57.44,12,0.65,23.57,53.72,38,0.66,18.44,52.66,63,0.74,24.71,53.93
aboiement,9,NC,,,,,3,0.25,2.82,44.51,8,0.57,3.40,45.32,11,0.54,3.17,45.01
aboiements,10,NC,,,,,2,0.00,0.34,35.35,10,0.65,4.77,46.79,12,0.57,3.61,45.58
aboient,7,VER,,,,,,,,,8,0.32,2.05,43.13,8,0.27,1.24,40.93
aboiera,7,VER,,,,,,,,,2,0.21,0.35,35.43,2,0.17,0.21,33.20
aboies,6,VER,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
abois,5,NC,,,,,,,,,5,0.48,1.84,42.64,5,0.40,1.11,40.47
abolition,9,NC,,,,,,,,,2,0.00,0.05,26.96,2,0.00,0.03,24.18
abominable,10,ADJ,,,,,2,0.27,1.82,42.60,8,0.52,3.12,44.94,10,0.51,2.73,44.36
abominablement,14,ADV,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
abominables,11,ADJ,,,,,,,,,2,0.00,0.10,30.05,2,0.00,0.05,27.27
abominaffreux,13,NP,,,,,16,0.00,2.74,44.38,,,,,16,0.00,0.09,29.67
abomination,11,NC,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
abondaient,10,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
abondamment,11,ADV,,,,,,,,,6,0.54,2.42,43.84,6,0.45,1.47,41.68
abondance,9,NC,,,,,,,,,16,0.50,6.13,47.88,16,0.42,3.72,45.71
abondant,8,ADJ,,,,,,,,,4,0.31,1.01,40.03,4,0.26,0.61,37.83
abondant,8,VER,,,,,,,,,1,0.00,0.02,22.49,1,0.00,0.01,19.71
abondante,9,ADJ,,,,,1,0.00,0.19,32.89,11,0.64,5.22,47.17,12,0.57,3.62,45.59
abondantes,10,ADJ,,,,,1,0.00,0.20,33.09,5,0.40,1.51,41.78,6,0.39,1.27,41.03
abondants,9,ADJ,,,,,,,,,3,0.19,0.47,36.71,3,0.16,0.28,34.48
abondent,8,VER,,,,,,,,,3,0.19,0.47,36.73,3,0.16,0.28,34.50
abonne,6,VER,,,,,,,,,2,0.00,0.02,23.72,2,0.00,0.01,20.93
abonné,6,VER,,,,,1,0.00,0.07,28.63,4,0.42,1.27,41.02,1,0.00,0.00,13.91
abonné,6,NC,,,,,,,,,,,,,4,0.35,0.77,38.84
abonnement,10,NC,,,,,3,0.00,0.22,33.40,1,0.00,0.04,26.11,4,0.14,0.32,35.05
abonnements,11,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
abonner,7,VER,,,,,1,0.00,0.07,28.63,1,0.00,0.01,20.71,2,0.17,0.19,32.77
abonnés,7,ADJ,,,,,,,,,4,0.17,0.62,37.89,1,0.00,0.01,21.16
abonnés,7,NC,,,,,,,,,1,0.00,0.02,23.94,4,0.14,0.37,35.62
abonnés,7,VER,,,,,,,,,1,0.00,0.02,22.49,1,0.00,0.01,19.71
abord,5,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
aborda,6,VER,,,,,,,,,7,0.47,2.48,43.95,7,0.39,1.50,41.77
abordage,8,NC,1,0.00,0.61,37.82,,,,,4,0.31,0.98,39.90,5,0.33,0.92,39.62
abordai,7,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abordait,8,VER,,,,,,,,,3,0.33,0.78,38.91,3,0.28,0.47,36.72
abordâmes,9,VER,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
abordant,8,VER,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.26
aborde,6,VER,,,,,,,,,5,0.40,1.53,41.83,5,0.33,0.92,39.65
aborder,7,VER,,,,,1,0.00,0.34,35.35,14,0.62,6.45,48.09,15,0.55,4.40,46.44
abordèrent,10,VER,,,,,,,,,4,0.42,1.26,41.02,4,0.35,0.77,38.84
abordés,7,ADJ,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
abordés,7,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
abordions,9,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abords,6,NC,,,,,1,0.00,0.17,32.34,7,0.44,2.37,43.75,8,0.42,1.83,42.62
aborigènes,10,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abouché,7,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
abouti,6,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
aboutir,7,VER,,,,,,,,,3,0.33,0.79,38.96,3,0.28,0.47,36.77
aboutira,8,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
aboutissaient,13,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
aboutissait,11,VER,,,,,,,,,4,0.31,0.99,39.95,4,0.26,0.60,37.75
aboutissement,13,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
aboutissent,11,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
aboutit,7,VER,,,,,,,,,4,0.31,1.01,40.05,4,0.26,0.61,37.85
aboville,8,NP,8,0.00,4.18,46.21,,,,,,,,,8,0.00,0.03,25.32
aboya,5,VER,5,0.37,12.46,50.95,,,,,9,0.57,3.79,45.79,14,0.55,4.12,46.15
aboyaient,9,VER,,,,,,,,,2,0.21,0.35,35.46,2,0.17,0.21,33.23
aboyait,7,VER,,,,,1,0.00,0.29,34.61,13,0.60,5.80,47.63,14,0.53,4.00,46.02
aboyant,7,VER,,,,,,,,,12,0.61,5.37,47.30,12,0.51,3.26,45.14
aboyé,5,VER,1,0.00,0.43,36.31,1,0.00,0.23,33.69,5,0.29,1.12,40.51,7,0.37,1.41,41.48
aboyer,6,VER,12,0.66,48.00,56.81,8,0.58,14.00,51.46,38,0.67,18.68,52.71,58,0.72,22.20,53.46
abracadabra,11,NC,6,0.52,18.95,52.78,7,0.45,10.02,50.01,14,0.23,2.58,44.11,27,0.50,7.26,48.61
abracadabrant,13,ADJ,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
abraham,7,NP,1,0.00,0.52,37.18,,,,,,,,,1,0.00,0.00,16.29
abraracourcix,13,NP,,,,,,,,,2,0.00,0.09,29.55,2,0.00,0.05,26.77
abrasion,8,NC,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
abrège,6,VER,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
abrégé,6,NC,,,,,1,0.00,0.22,33.41,5,0.29,1.09,40.37,6,0.31,1.01,40.06
abrégé,6,ADJ,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
abrégé,6,VER,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
abrégeant,9,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
abrégées,8,ADJ,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
abréger,7,VER,,,,,,,,,2,0.00,0.02,23.72,2,0.00,0.01,20.93
abreuvait,9,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abreuver,8,VER,,,,,2,0.00,0.69,38.36,2,0.00,0.07,28.45,4,0.17,0.41,36.16
abreuvoir,9,NC,3,0.25,5.30,47.24,,,,,4,0.42,1.26,41.02,7,0.44,1.64,42.16
abréviation,11,NC,,,,,2,0.27,1.96,42.93,18,0.70,9.28,49.68,20,0.63,6.68,48.25
abréviations,12,NC,,,,,2,0.00,0.72,38.60,22,0.58,9.57,49.81,24,0.52,6.72,48.27
abri,4,NC,21,0.84,104.17,60.18,25,0.86,61.94,57.92,79,0.87,50.06,57.00,125,0.89,58.48,57.67
abricot,7,ADJ,1,0.00,0.61,37.86,2,0.27,1.86,42.69,15,0.56,6.18,47.91,7,0.49,1.83,42.62
abricot,7,NC,7,0.68,28.58,54.56,2,0.00,0.41,36.09,4,0.42,1.27,41.02,24,0.63,8.05,49.06
abricotier,10,NC,1,0.00,0.38,35.77,2,0.00,0.69,38.36,1,0.00,0.03,24.35,4,0.26,0.58,37.60
abricotiers,11,NC,,,,,1,0.00,0.23,33.69,,,,,1,0.00,0.01,18.98
abricots,8,NC,2,0.00,1.22,40.87,5,0.52,7.97,49.01,11,0.59,4.85,46.86,18,0.62,5.95,47.74
abris,5,NC,,,,,,,,,6,0.54,2.41,43.82,6,0.45,1.46,41.65
abritaient,10,VER,,,,,,,,,4,0.42,1.28,41.08,4,0.35,0.78,38.90
abritait,8,VER,,,,,,,,,13,0.35,3.57,45.53,13,0.30,2.16,43.34
abritant,8,VER,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
abrite,6,VER,2,0.00,0.59,37.74,7,0.60,12.65,51.02,15,0.69,7.64,48.83,24,0.69,8.77,49.43
abrité,6,ADJ,,,,,,,,,4,0.42,1.30,41.15,3,0.28,0.47,36.74
abrité,6,VER,,,,,,,,,3,0.33,0.78,38.93,4,0.35,0.79,38.97
abritée,7,VER,,,,,1,0.00,0.29,34.61,1,0.00,0.05,26.59,2,0.17,0.21,33.22
abritée,7,ADJ,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
abritent,8,VER,,,,,2,0.27,1.96,42.93,9,0.44,3.01,44.79,11,0.45,2.69,44.30
abriter,7,VER,,,,,5,0.52,7.89,48.97,19,0.74,10.33,50.14,24,0.69,8.77,49.43
abritons,8,VER,,,,,,,,,2,0.21,0.37,35.70,2,0.17,0.22,33.45
abrupt,6,ADJ,,,,,,,,,4,0.42,1.28,41.09,4,0.35,0.78,38.91
abrupte,7,ADJ,,,,,,,,,4,0.42,1.27,41.03,4,0.35,0.77,38.86
abruptes,8,ADJ,,,,,,,,,3,0.19,0.49,36.88,3,0.16,0.29,34.65
abruti,6,NC,,,,,,,,,2,0.00,0.04,25.56,2,0.00,0.02,22.78
abrutie,7,ADJ,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
abrutie,7,VER,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
abrutis,7,NC,1,0.00,0.61,37.86,,,,,,,,,1,0.00,0.00,16.96
absence,7,NC,2,0.00,1.05,40.19,4,0.54,6.54,48.16,37,0.86,22.98,53.61,43,0.77,17.49,52.43
absences,8,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
absent,6,ADJ,1,0.00,0.42,36.25,6,0.48,9.02,49.55,13,0.67,6.45,48.10,20,0.66,6.98,48.44
absent,6,NC,,,,,,,,,4,0.31,0.95,39.77,4,0.26,0.57,37.58
absentait,9,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
absente,7,ADJ,1,0.00,0.62,37.95,,,,,5,0.48,1.83,42.62,6,0.45,1.46,41.65
absente,7,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
absenté,7,VER,,,,,2,0.00,0.39,35.90,1,0.00,0.02,23.72,3,0.16,0.27,34.35
absentée,8,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
absentent,9,VER,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
absenter,8,VER,,,,,1,0.00,0.22,33.41,4,0.42,1.26,41.00,5,0.40,1.09,40.38
absentes,8,ADJ,,,,,1,0.00,0.29,34.61,,,,,1,0.00,0.01,19.90
absentez,8,VER,,,,,,,,,2,0.21,0.34,35.33,2,0.17,0.20,33.11
absents,7,ADJ,2,0.00,1.22,40.87,2,0.27,1.96,42.93,4,0.42,1.28,41.06,8,0.48,2.05,43.12
absolu,6,ADJ,,,,,,,,,7,0.52,2.76,44.41,7,0.44,1.67,42.24
absolu,6,NC,,,,,,,,,2,0.00,0.04,25.56,2,0.00,0.02,22.78
absolue,7,ADJ,,,,,,,,,6,0.47,2.14,43.30,6,0.39,1.30,41.13
absolument,10,ADV,4,0.27,7.80,48.92,12,0.77,27.10,54.33,66,0.94,44.63,56.50,82,0.86,37.12,55.70
absorba,7,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
absorbait,9,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
absorbant,9,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
absorbante,10,ADJ,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
absorbants,10,ADJ,,,,,1,0.00,0.36,35.59,1,0.00,0.04,26.11,2,0.17,0.21,33.22
absorbe,7,VER,,,,,,,,,3,0.33,0.75,38.76,3,0.28,0.45,36.57
absorbé,7,ADJ,,,,,1,0.00,0.29,34.61,7,0.38,2.08,43.19,1,0.00,0.01,19.90
absorbé,7,VER,,,,,,,,,,,,,7,0.32,1.26,41.00
absorbée,8,ADJ,,,,,1,0.00,0.22,33.41,1,0.00,0.03,24.69,2,0.17,0.20,33.03
absorbée,8,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
absorber,8,VER,,,,,3,0.25,2.71,44.33,5,0.48,1.83,42.63,8,0.48,2.06,43.15
absorbés,8,ADJ,,,,,1,0.00,0.22,33.41,3,0.33,0.76,38.83,1,0.00,0.01,18.70
absorbés,8,VER,,,,,,,,,,,,,3,0.28,0.46,36.64
abstenir,8,VER,,,,,1,0.00,0.29,34.61,1,0.00,0.03,24.69,2,0.17,0.20,33.07
abstention,10,NC,,,,,1,0.00,0.29,34.61,2,0.00,0.06,27.70,3,0.16,0.28,34.55
abstentions,11,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
abstenu,7,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abstient,8,VER,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
abstint,7,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abstrait,8,NC,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
absurde,7,ADJ,1,0.00,0.62,37.95,,,,,6,0.40,1.82,42.61,7,0.39,1.48,41.70
absurdes,8,ADJ,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
absurdité,9,NC,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
absurdités,10,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abuse,5,VER,,,,,,,,,2,0.21,0.33,35.15,2,0.17,0.20,32.94
abuser,6,VER,,,,,,,,,5,0.40,1.54,41.89,5,0.33,0.93,39.70
abuserait,9,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
abuseras,8,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
abusez,6,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abusif,6,ADJ,,,,,,,,,2,0.21,0.35,35.43,2,0.17,0.21,33.20
acacia,6,NC,,,,,4,0.27,3.74,45.73,5,0.40,1.53,41.85,9,0.43,2.11,43.25
acacias,7,NC,,,,,1,0.00,0.25,33.94,4,0.31,0.96,39.83,5,0.33,0.91,39.60
académiciens,12,NC,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
académie,8,NC,,,,,,,,,13,0.57,5.48,47.39,13,0.47,3.33,45.23
académies,9,NC,3,0.00,1.57,41.95,,,,,4,0.17,0.57,37.57,7,0.25,0.97,39.88
académique,10,ADJ,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
